,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind Speed
373,Iqaluit,40,CA,1552798800,59,63.75,-68.52,-0.41,11.41
374,Kibala,0,TD,1552798800,23,9.11,18.35,82.4,6.17
375,Am Timan,8,TD,1552800431,22,11.04,20.28,73.22,12.44
376,Harrisburg,1,US,1552800303,40,40.27,-76.89,35.6,5.82
377,Antalaha,8,MG,1552800431,97,-14.9,50.28,80.15,6.06
378,Maceio,0,BR,1552798800,88,-9.67,-35.74,75.2,3.36
379,Athabasca,24,CA,1552800279,69,54.72,-113.29,21.47,8.08
380,Raudeberg,88,NO,1552800301,52,61.99,5.14,41.0,9.17
381,Cidreira,92,BR,1552800432,80,-30.17,-50.22,73.4,13.67
382,Honiara,56,SB,1552800432,77,-9.43,159.96,83.84,2.82
383,Harper,75,US,1552800377,46,30.3,-99.24,51.01,5.5
384,Heinola,90,FI,1552800366,95,61.2,26.03,32.0,9.17
385,San Rafael,12,AR,1552800191,95,-34.61,-68.33,50.54,2.93
386,Lahij,68,YE,1552800433,77,13.06,44.88,76.01,4.38
387,Barguzin,20,RU,1552800433,55,53.62,109.63,41.9,4.61
388,Fukue,75,JP,1552800367,81,35.03,136.69,52.0,10.29
389,Iquitos,75,PE,1552798800,94,-3.75,-73.25,75.2,2.24
390,Indian Head,0,CA,1552799412,88,50.53,-103.67,19.99,7.0
391,Rawson,0,AR,1552800434,94,-43.3,-65.11,61.07,14.9
392,Fairbanks,90,US,1552800159,55,64.84,-147.72,41.0,6.93
393,Ambulu,44,ID,1552800434,100,-8.35,113.61,80.87,10.42
394,Rindal,48,NO,1552800435,92,63.05,9.21,11.66,4.83
395,Vila Franca do Campo,40,PT,1552800395,87,37.72,-25.43,57.2,3.36
396,Margate,20,AU,1552800434,56,-43.03,147.26,70.0,19.46
397,Vanimo,12,PG,1552800435,98,-2.67,141.3,83.21,14.79
398,Port Blair,20,IN,1552795200,62,11.67,92.75,87.8,6.93
399,Lala,36,PH,1552800435,56,7.97,123.75,87.53,6.4
400,San Quintin,36,PH,1552800436,85,17.54,120.52,79.25,3.94
401,Almaznyy,75,RU,1552798800,93,48.03,40.04,37.4,8.95
402,Paramonga,64,PE,1552800436,100,-10.68,-77.82,71.33,9.53
403,Port Hawkesbury,20,CA,1552800355,64,45.62,-61.36,35.01,12.75
404,Boca do Acre,24,BR,1552800436,93,-8.76,-67.39,76.01,2.15
405,Marawi,88,PH,1552799725,82,8.0,124.29,82.0,7.0
406,Gorlitz,20,CA,1552798800,79,51.46,-102.45,24.8,9.17
407,Barcelos,75,PT,1552800424,81,41.53,-8.62,51.8,4.7
408,Carmen,92,PH,1552800197,70,7.2,124.8,81.77,9.08
409,Gadwal,0,IN,1552800437,28,16.23,77.79,94.1,10.54
410,Tilichiki,8,RU,1552800437,69,60.47,166.1,1.13,3.83
411,Seoul,0,KR,1552798800,29,37.57,126.98,53.6,5.82
412,Ambon,20,FR,1552800426,93,47.55,-2.56,46.0,8.05
413,Dakar,0,SN,1552798800,88,14.69,-17.45,66.2,11.41
414,Yamaranguila,32,HN,1552800438,95,14.28,-88.24,61.43,2.15
415,Tulle,0,FR,1552800311,80,45.27,1.77,44.01,6.93
416,San Buenaventura,56,MX,1552800304,29,27.06,-101.55,53.01,5.99
417,San Jeronimo,8,PE,1552800438,100,-13.65,-73.37,37.13,1.7
418,Goderich,0,CA,1552800212,79,43.74,-81.71,27.0,15.01
419,Sovetskiy,92,RU,1552800439,97,56.76,48.47,27.59,10.2
420,Sydney Mines,5,CA,1552800367,82,46.24,-60.22,35.01,6.93
421,Camacha,40,PT,1552797000,72,33.08,-16.33,60.8,9.17
422,Wattegama,12,LK,1552800439,79,7.35,80.68,85.01,3.15
423,Pavagada,0,IN,1552800439,24,14.1,77.28,92.57,10.2
424,Bonavista,68,CA,1552799713,85,48.65,-53.11,39.99,18.7
425,Uttaradit,0,TH,1552799924,52,17.63,100.1,98.01,4.7
426,Port Hardy,40,CA,1552798800,75,50.7,-127.42,44.6,2.24
427,Bathsheba,20,BB,1552798800,74,13.22,-59.52,78.8,17.22
428,Karatau,88,KZ,1552800440,54,43.18,70.46,60.53,13.0
429,Mandalgovi,0,MN,1552800440,66,45.76,106.27,48.29,12.21
430,Kaputa,24,ZM,1552800440,88,-8.47,29.66,71.33,3.49
431,Paso de Patria,75,AR,1552798800,94,-27.25,-58.55,73.4,4.7
432,Rey Bouba,0,CM,1552800440,63,8.67,14.18,68.0,1.36
433,Araouane,0,ML,1552800440,28,18.9,-3.53,56.93,3.6
434,Dire,5,ET,1552798800,51,9.18,38.92,62.6,5.82
435,Kapuskasing,90,CA,1552795200,85,49.42,-82.43,14.0,10.29
436,Svetlogorsk,40,RU,1552798800,92,53.14,59.15,15.8,2.24
437,Saint Anthony,1,US,1552800335,73,43.97,-111.68,30.0,5.82
438,Krasnyy Yar,92,RU,1552800441,97,50.7,44.73,32.81,9.98
439,Gimli,8,CA,1552800005,91,50.63,-96.99,12.0,1.01
440,Show Low,1,US,1552800031,78,34.25,-110.03,43.0,8.05
441,Brae,44,GB,1552798200,75,60.4,-1.35,41.0,21.92
442,Qaqortoq,92,GL,1552798200,64,60.72,-46.03,33.8,19.46
443,Zaozerne,76,UA,1552800442,95,51.37,23.94,36.32,10.09
444,Muli,0,IN,1552800442,20,22.62,71.45,88.97,9.64
445,Noumea,75,NC,1552798800,83,-22.28,166.46,84.2,8.05
446,Dombarovskiy,44,RU,1552800442,91,50.76,59.54,22.91,11.77
447,Conakry,0,GN,1552800442,100,9.52,-13.7,78.08,5.06
448,Lesozavodsk,68,RU,1552800442,68,45.47,133.42,42.89,13.56
449,Alta Floresta,0,BR,1552800443,94,-9.87,-56.08,74.3,1.92
450,Vokhma,92,RU,1552800443,88,58.93,46.76,27.41,6.4
451,Tatarsk,56,RU,1552800443,96,55.22,75.96,23.9,12.44
452,Merauke,92,ID,1552800443,100,-8.49,140.4,74.57,15.01
453,Zyryanovsk,0,KZ,1552800311,64,49.74,84.27,34.25,2.93
454,Zyryanka,20,RU,1552800443,51,65.73,150.89,-3.83,3.04
455,Taber,1,CA,1552799056,92,49.79,-112.14,30.0,5.82
456,Belaya Gora,20,RU,1552800443,66,68.54,146.19,-8.96,2.04
457,Mishan,64,CN,1552800444,45,45.55,131.88,44.51,11.77
458,De-Kastri,44,RU,1552800444,81,51.48,140.77,33.44,6.06
459,Matara,8,PE,1552800444,100,-13.74,-72.9,37.13,1.7
460,Cabedelo,20,BR,1552798800,94,-6.97,-34.84,77.0,2.24
461,Talcahuano,75,CL,1552798800,93,-36.72,-73.12,53.6,3.36
462,Khandbari,8,NP,1552800444,65,27.38,87.21,39.65,0.36
463,Bataipora,0,BR,1552800331,93,-22.3,-53.27,71.42,9.19
464,Mweka,92,CD,1552800445,94,-4.85,21.56,74.21,3.38
465,Adrar,0,DZ,1552798800,29,27.87,-0.29,51.8,12.75
466,Asyut,0,EG,1552795200,81,27.18,31.19,48.2,4.7
467,Yulara,75,AU,1552798800,18,-25.24,130.99,98.6,8.05
468,Cockburn Town,0,TC,1552800445,100,21.46,-71.14,76.55,15.35
469,Leshukonskoye,80,RU,1552800445,82,64.9,45.76,25.61,5.28
470,Orvault,75,FR,1552800426,87,47.27,-1.62,46.4,8.05
471,Ixtapa,90,MX,1552800309,100,20.71,-105.21,73.99,2.04
472,Katsuura,40,JP,1552800072,76,33.93,134.5,51.01,6.93
473,Oranjestad,20,AW,1552795200,78,12.52,-70.03,78.8,19.46
474,Shakawe,0,BW,1552800446,58,-18.36,21.84,70.88,7.29
475,Atar,0,MR,1552800446,41,20.52,-13.05,55.76,6.06
476,Gigmoto,88,PH,1552800446,94,13.78,124.39,80.87,14.0
477,Shache,0,CN,1552800446,32,38.42,77.24,58.64,5.17
478,Ikere,24,NG,1552800446,90,7.49,5.23,70.52,2.59
479,Laurel,90,US,1552800408,59,45.67,-108.77,37.4,3.6
480,Smithers,1,CA,1552798800,86,54.78,-127.17,33.8,1.92
481,Langres,0,FR,1552799723,61,47.87,5.33,48.2,11.41
482,Tsiroanomandidy,0,MG,1552800447,93,-18.77,46.05,74.03,4.16
483,Bhainsdehi,0,IN,1552800447,42,21.65,77.63,84.92,8.19
484,Sisimiut,32,GL,1552800246,50,66.94,-53.67,-18.41,1.36
485,Ilulissat,24,GL,1552798200,53,69.22,-51.1,-2.21,6.93
486,Puerto Carreno,88,CO,1552800448,89,6.19,-67.49,70.43,3.6
487,Perth,0,GB,1552800426,86,56.4,-3.43,36.0,14.99
488,Ketchikan,90,US,1552798560,93,55.34,-131.65,48.2,12.75
489,Bahia Honda,0,CU,1552800448,76,22.9,-83.16,73.94,6.17
490,Petatlan,0,MX,1552800163,95,17.52,-101.27,76.64,6.17
491,Quelimane,36,MZ,1552800204,92,-17.88,36.89,83.03,8.19
492,Fort Nelson,75,CA,1552798800,68,58.81,-122.69,30.2,5.82
493,Sao Bartolomeu de Messines,0,PT,1552800430,62,37.26,-8.29,55.4,3.36
494,Fare,68,PF,1552800449,100,-16.7,-151.02,82.31,4.5
495,Lata,88,IN,1552800449,64,30.78,78.62,52.97,1.7
496,Igrim,20,RU,1552800449,75,63.19,64.42,18.68,3.6
497,Namibe,0,AO,1552800449,100,-15.19,12.15,78.08,2.93
498,Nikolayevsk-na-amure,88,RU,1552800450,72,53.14,140.72,31.37,2.59
499,Xai-Xai,12,MZ,1552800450,92,-25.04,33.64,79.07,4.94
500,Sept-Iles,75,CA,1552799793,66,50.2,-66.38,17.01,20.8
501,Dahanu,0,IN,1552800450,72,19.97,72.73,83.12,6.85
502,Yaan,0,NG,1552800450,91,7.38,8.57,75.38,9.98
503,Manado,40,ID,1552798800,66,1.49,124.85,86.0,10.29
504,Nelspruit,0,ZA,1552799838,88,-25.48,30.98,69.01,3.36
505,Tirlyanskiy,56,RU,1552800450,85,54.22,58.58,21.38,4.05
506,Ingleside,90,CA,1552800410,58,45.0,-74.99,24.8,11.41
507,Maebaru,20,JP,1552800439,47,33.55,130.2,61.0,13.87
508,Orlik,76,RU,1552800451,69,52.51,99.83,30.29,3.27
509,Nicoya,0,CR,1552798800,57,10.15,-85.45,80.6,24.16
510,Pekalongan,32,ID,1552800451,100,-6.89,109.67,81.77,7.18
511,Alghero,40,IT,1552800426,93,40.56,8.32,44.6,3.36
512,Gubkinskiy,0,RU,1552800452,93,64.43,76.5,3.11,5.5
513,Khuzdar,0,PK,1552800452,68,27.8,66.62,61.7,3.27
514,Wiltz,76,LU,1552800436,93,49.97,5.93,46.99,6.93
515,Trairi,88,BR,1552800452,100,-3.28,-39.27,80.87,5.73
516,Lasa,20,CY,1552798800,87,34.92,32.53,57.2,4.7
517,Cherskiy,8,RU,1552800452,50,68.75,161.3,-17.42,2.59
518,Gayny,64,RU,1552800452,87,60.3,54.33,23.18,7.63
519,Corralillo,8,CU,1552800453,100,22.98,-80.59,67.73,5.95
520,Khash,0,IR,1552800453,57,28.22,61.21,62.69,4.5
521,Georgiyevka,88,RU,1552800453,94,52.25,40.45,33.17,8.86
522,Verkhoyansk,0,RU,1552800453,58,67.55,133.39,-2.66,3.71
523,Sokoni,76,CD,1552800453,97,-12.89,28.78,66.2,3.94
524,Rugby,75,US,1552799700,100,48.37,-100.0,26.6,13.87
525,Ekibastuz,0,KZ,1552800453,100,51.72,75.32,20.84,9.42
526,Nouadhibou,0,MR,1552795200,60,20.93,-17.03,68.0,13.87
527,The Valley,20,AI,1552799735,73,18.22,-63.06,77.0,8.05
528,Ganzhou,100,CN,1552800454,99,25.86,114.93,58.1,3.49
529,Ust-Nera,8,RU,1552800454,63,64.57,143.24,-2.57,2.59
530,Lunca Cernii de Jos,0,RO,1552800307,88,45.63,22.62,43.0,1.01
531,San Marcos,20,GT,1552797600,94,14.97,-91.79,77.0,1.92
532,Batemans Bay,44,AU,1552800259,78,-35.71,150.18,71.01,5.01
533,Moranbah,48,AU,1552800456,79,-22.0,148.04,82.67,3.6
